Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank,Most_Important_Issue-is-Education,Most_Important_Issue-is-Environment,Most_Important_Issue-is-Financial,Most_Important_Issue-is-Foreign_Affairs,Most_Important_Issue-is-Healthcare,Most_Important_Issue-is-Military,Most_Important_Issue-is-Other,Most_Important_Issue-is-Social
-0.006000000000000005,-0.6363636363636364,-0.8286012034458119,-0.15018089446539928,0.1136234762636632,0.26954653196273803,0.1959714391248446,-0.015735309127067245,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
-0.7397142857142858,1.0,0.3273235806369932,0.8609806789315679,0.014434070992878953,-1.8901510829510335,-1.0947290793258255,-1.7910712989151405,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.49142857142857144,-0.6363636363636364,-0.4340974127205721,-0.19652066815487668,-1.0879826074819015,-0.4527723668730437,-0.3440500948048538,-0.6573849434445398,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
-0.6211428571428572,-0.8181818181818181,-0.5129977809868382,-0.12662612577938592,-1.2233265657759043,-0.4431465458443359,-0.28731037799637066,-0.5086989440023257,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-0.912,0.2727272727272727,-0.7153402334111656,0.030097759987683714,-0.7262331855830024,0.2535182538547767,-0.14669588804908368,-0.1919952790946632,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.984,0.09090909090909083,-0.7492190551639395,0.06889384958817635,1.172852060310694,-0.21971868643190187,-0.33984996183343746,0.32226638585136436,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.1180000000000001,0.6363636363636365,0.7277383140283626,0.3988145639288738,-1.2341649213041972,2.001944052683243,2.2267497027900087,2.064352995111411,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.01857142857142846,0.2727272727272727,-0.3813324470132451,0.1444846432145328,-0.06809884741289687,-0.6562174514075223,0.7802349147819876,-0.6391279750498684,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
-0.7245714285714286,-0.2727272727272727,0.8993280832355932,0.8528211838965436,-1.1098117440315687,2.153935043601467,2.602011901076481,2.1358050636759773,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
-0.4762857142857143,0.6363636363636365,-0.802855410094397,-0.20468016318990068,1.4430376805343752,0.27343910219924217,0.18602788091178146,-0.07863296544110514,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.6417142857142857,0.4545454545454546,-0.48393818142116585,-0.807097221153106,-0.21719314840111797,0.5578210444255309,0.2798214961244435,-0.5961299423786454,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
